UID,Month,Longitude,Latitude,Crime_type
14351,2020-01,-0.137478,51.526186,Theft from the person
14352,2020-01,-0.139304,51.525235,Theft from the person
14415,2020-01,-0.140599,51.537323,Theft from the person
14416,2020-01,-0.138793,51.533526,Theft from the person
14417,2020-01,-0.140599,51.537323,Theft from the person
14418,2020-01,-0.140599,51.537323,Theft from the person
14419,2020-01,-0.139638,51.535437,Theft from the person
14420,2020-01,-0.140599,51.537323,Theft from the person
14421,2020-01,-0.138823,51.534912,Theft from the person
14483,2020-01,-0.135184,51.532921,Theft from the person
14544,2020-01,-0.124496,51.530565,Theft from the person
14545,2020-01,-0.123643,51.530264,Theft from the person
14546,2020-01,-0.123643,51.530264,Theft from the person
14547,2020-01,-0.123643,51.530264,Theft from the person
14548,2020-01,-0.123643,51.530264,Theft from the person
14549,2020-01,-0.123643,51.530264,Theft from the person
14550,2020-01,-0.123643,51.530264,Theft from the person
14551,2020-01,-0.124496,51.530565,Theft from the person
14552,2020-01,-0.123643,51.530264,Theft from the person
14553,2020-01,-0.123643,51.530264,Theft from the person
14554,2020-01,-0.126699,51.533442,Theft from the person
14555,2020-01,-0.123643,51.530264,Theft from the person
14556,2020-01,-0.123643,51.530264,Theft from the person
14557,2020-01,-0.123643,51.530264,Theft from the person
14558,2020-01,-0.130212,51.53393,Theft from the person
14559,2020-01,-0.123643,51.530264,Theft from the person
14560,2020-01,-0.123643,51.530264,Theft from the person
14561,2020-01,-0.131546,51.534445,Theft from the person
14562,2020-01,-0.123643,51.530264,Theft from the person
14583,2020-01,-0.13889,51.532548,Theft from the person
14584,2020-01,-0.136084,51.531002,Theft from the person
14603,2020-01,-0.132099,51.531514,Theft from the person
14662,2020-01,-0.131558,51.528169,Theft from the person
14663,2020-01,-0.128979,51.531986,Theft from the person
14664,2020-01,-0.128979,51.531986,Theft from the person
14665,2020-01,-0.126199,51.529117,Theft from the person
14666,2020-01,-0.131558,51.528169,Theft from the person
14667,2020-01,-0.131558,51.528169,Theft from the person
14668,2020-01,-0.126199,51.529117,Theft from the person
14669,2020-01,-0.129374,51.530445,Theft from the person
14670,2020-01,-0.127884,51.528461,Theft from the person
14671,2020-01,-0.131558,51.528169,Theft from the person
14724,2020-01,-0.133886,51.526587,Theft from the person
14725,2020-01,-0.133296,51.528664,Theft from the person
14726,2020-01,-0.133296,51.528664,Theft from the person
14727,2020-01,-0.135777,51.526887,Theft from the person
14728,2020-01,-0.133296,51.528664,Theft from the person
14729,2020-01,-0.133296,51.528664,Theft from the person
14730,2020-01,-0.133296,51.528664,Theft from the person
14731,2020-01,-0.140437,51.527159,Theft from the person
14732,2020-01,-0.133296,51.528664,Theft from the person
14733,2020-01,-0.133296,51.528664,Theft from the person
14792,2020-01,-0.11601,51.527273,Theft from the person
14793,2020-01,-0.117294,51.524452,Theft from the person
14863,2020-01,-0.120975,51.530644,Theft from the person
14864,2020-01,-0.120975,51.530644,Theft from the person
14865,2020-01,-0.120179,51.530361,Theft from the person
14866,2020-01,-0.120389,51.530868,Theft from the person
14867,2020-01,-0.122145,51.530581,Theft from the person
14868,2020-01,-0.120179,51.530361,Theft from the person
14869,2020-01,-0.122145,51.530581,Theft from the person
14947,2020-01,-0.119224,51.529042,Theft from the person
14948,2020-01,-0.12338,51.529657,Theft from the person
14949,2020-01,-0.122793,51.529908,Theft from the person
14950,2020-01,-0.119224,51.529042,Theft from the person
14951,2020-01,-0.119224,51.529042,Theft from the person
14952,2020-01,-0.122793,51.529908,Theft from the person
14953,2020-01,-0.122793,51.529908,Theft from the person
14954,2020-01,-0.12179,51.529766,Theft from the person
14955,2020-01,-0.122793,51.529908,Theft from the person
14956,2020-01,-0.122793,51.529908,Theft from the person
14957,2020-01,-0.122793,51.529908,Theft from the person
14974,2020-01,-0.118888,51.526357,Theft from the person
15010,2020-01,-0.125973,51.525508,Theft from the person
15011,2020-01,-0.125973,51.525508,Theft from the person
15012,2020-01,-0.125545,51.523981,Theft from the person
15013,2020-01,-0.124734,51.525479,Theft from the person
15014,2020-01,-0.125973,51.525508,Theft from the person
15015,2020-01,-0.125973,51.525508,Theft from the person
15016,2020-01,-0.12317,51.524942,Theft from the person
15031,2020-01,-0.120816,51.523645,Theft from the person
15032,2020-01,-0.12294,51.526341,Theft from the person
15052,2020-01,-0.124342,51.52764,Theft from the person
